Year,Proportion
2009,0.649433962264151
2010,0.6692857142857143
2011,0.6063829787234043
2012,0.6733206590621039
2013,0.33766233766233766
2014,0.20797227036395147
2015,0.2747826086956522
2016,0.25787965616045844
2017,0.14380825565912117
2018,0.08583690987124463
2019,0.0981012658227848
2020,0.08901515151515152
2021,0.17866323907455012
2022,0.15130023640661938
2023,0.22727272727272727
2024,0.1848341232227488
