Short Name,Full Name,Category,Sponsoring Space Agency,Module
GLACIER,General Laboratory Active Cryogenic ISS Experiment Refrigerator,Multipurpose,National Aeronautics and Space Administration (NASA),Dependent
Glovebox Freezer,Glovebox Freezer,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
GN2,Kennedy Space Center Gaseous Nitrogen Freezer,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
GHF,Gradient Heating Furnace,None,Japan Aerospace Exploration Agency (JAXA),JEM
Hermes,Hermes Facility,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
HGD-PFD,Hand Grip Dynamometer-Pinch Force Dynamometer,Human Research,National Aeronautics and Space Administration (NASA),Dependent
Holter,Human Research Facility Holter Monitor,Human Research,National Aeronautics and Space Administration (NASA),US Lab
Holter Monitor 2,Holter Monitor 2,Human Research,National Aeronautics and Space Administration (NASA),
HPA,Hand Posture Analyzer Facility,Human Research,National Aeronautics and Space Administration (NASA),
HRF-1,Human Research Facility-1,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
HRF-2,Human Research Facility-2,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
HSRC,HTV Small Re-entry Capsule,Technology Development and Demonstration,Japan Aerospace Exploration Agency (JAXA),JEM
ICE Cubes,International Commercial Experiment Cubes Facility,Multipurpose,European Space Agency (ESA),Columbus
Iceberg,Iceberg,Multipurpose,National Aeronautics and Space Administration (NASA),Dependent
In Situ Chemiluminescent Reader,In Situ Chemiluminescent Reader,Human Research,National Aeronautics and Space Administration (NASA),US Lab
IPU,Image Processing Unit,Multipurpose,Japan Aerospace Exploration Agency (JAXA),JEM
IPU2,Image Processing Unit 2,Multipurpose,Japan Aerospace Exploration Agency (JAXA),JEM
iRED,Interim Resistive Exercise Device,Human Research,National Aeronautics and Space Administration (NASA),Node 1
ISERV,ISS SERVIR Environmental Research and Visualization System,Earth and Space Science,National Aeronautics and Space Administration (NASA),US Lab
ARISS,International Space Station Ham Radio,Educational and Cultural Activities,National Aeronautics and Space Administration (NASA),Columbus
JAXA Mouse Habitat Unit,JAXA Mouse Habitat Unit,Biology and Biotechnology,Japan Aerospace Exploration Agency (JAXA),JEM
JEM-EF,Japanese Experiment Module - Exposed Facility,Earth and Space Science,Japan Aerospace Exploration Agency (JAXA),JEM
J-SSOD,JEM Small Satellite Orbital Deployer,Multipurpose,Japan Aerospace Exploration Agency (JAXA),JEM
KERMIT,KEyence Research MIcroscope Testbed,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
KFT,Kennedy Space Center Fixation Tube,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),Dependent
KOBAIRO Rack,KOBAIRO Rack,Physical Science,Japan Aerospace Exploration Agency (JAXA),JEM
Kubik,Kubik,Multipurpose,European Space Agency (ESA),Columbus
LIDAL,Light Ions Detector for ALTEA Facility,Human Research,National Aeronautics and Space Administration (NASA),Columbus
LSG,Life Sciences Glovebox,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
LMM,Light Microscopy Module,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
LSR,Life Support Rack,Multipurpose,European Space Agency (ESA),Columbus
MAMS,Microgravity Acceleration Measurement System,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
AMF,Additive Manufacturing Facility#Manufacturing Device,Technology Development and Demonstration,National Aeronautics and Space Administration (NASA),Dependent
MARES,Muscle Atrophy Research and Exercise System,Human Research,European Space Agency (ESA),Columbus
MMD,Mass Measurement Device,Multipurpose,National Aeronautics and Space Administration (NASA),US Lab
MDS,Mice Drawer System Facility,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),Columbus
MELFI,Minus Eighty-Degree Laboratory Freezer for ISS,Multipurpose,National Aeronautics and Space Administration (NASA),JEM
MERLIN,Microgravity Experiment Research Locker Incubator,Biology and Biotechnology,National Aeronautics and Space Administration (NASA),Dependent
MicroPREP,MicroPREP,Biology and Biotechnology,Canadian Space Agency (CSA),Dependent
Mini Coldbag,Mini Coldbag,Multipurpose,National Aeronautics and Space Administration (NASA),Dependent
MSFO,Made In Space Fiber Optics,Manufacture,National Aeronautics and Space Administration (NASA),Dependent
MISSE-FF,Materials ISS Experiment Flight Facility,Technology Development and Demonstration,National Aeronautics and Space Administration (NASA),ISS Truss
