,Frequency
Human Research,0.4526171380329253
Multipurpose,0.2704727733220768
Biology and Biotechnology,0.11423596454200084
Physical Science,0.08331574504010131
Earth and Space Science,0.03593288307302659
Technology Development and Demonstration,0.024905023216547067
inSPA,0.01635711270578303
Educational and Cultural Activities,0.002163360067539046
