,Frequency
Multipurpose,0.3677066146692665
Human Research,0.24741262936853156
Biology and Biotechnology,0.16139193040347982
Physical Science,0.1184190790460477
Earth and Space Science,0.051072446377681116
Technology Development and Demonstration,0.035398230088495575
inSPA,0.015224238788060597
Educational and Cultural Activities,0.0030748462576871156
Manufacture,0.0002999850007499625
