Report Date,Facility
2009,LSR
2010,LSR
2011,LSR
2012,LSR
2013,LSR
2014,LSR
2015,LSR
2016,LSR
2017,LSR
2018,LSR
2019,LSR
2020,LSR
2021,LSR
2022,LSR
2023,LSR
2024,LSR
