Report Date,Facility
2009,ELITE-S2
2010,ELITE-S2
2011,ELITE-S2
2012,ELITE-S2
2013,ELITE-S2
2014,ELITE-S2
2015,ELITE-S2
2016,ELITE-S2
2017,ELITE-S2
2018,ELITE-S2
2019,ELITE-S2
2020,ELITE-S2
2021,ELITE-S2
2022,ELITE-S2
2023,ELITE-S2
2024,HPA
