Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
MELFI/MERLIN,Multipurpose/Biology and Biotechnology,Refrigeration/Refrigeration,0.00788091068301226,0.008411214953271028,0.001863932898415657,0.000778816199376947,0.0,0.002320185614849188,0.0,0.0018726591760299626,0.0017699115044247787,0.0017064846416382253,0.0038240917782026767,0.0045351473922902496,0.0015552099533437014,0.0,0.004694835680751174,0.0
GLACIER/MERLIN,Multipurpose/Biology and Biotechnology,Refrigeration/Refrigeration,0.00788091068301226,0.004672897196261682,0.0027958993476234857,0.001557632398753894,0.013201320132013201,0.0,0.0022727272727272726,0.0,0.0017699115044247787,0.0,0.0038240917782026767,0.0022675736961451248,0.003110419906687403,0.0,0.0,0.0
ELC/EXPRESS Rack,Earth and Space Science/Multipurpose,External payloads/General science,0.00788091068301226,0.009345794392523364,0.007455731593662628,0.006230529595015576,0.0165016501650165,0.0,0.0,0.003745318352059925,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0,0.0030959752321981426
CBPD/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,0.0070052539404553416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/MERLIN,Multipurpose/Biology and Biotechnology,General science/Refrigeration,0.0070052539404553416,0.003738317757009346,0.013979496738117428,0.0,0.013201320132013201,0.0,0.0,0.0018726591760299626,0.0017699115044247787,0.0,0.0019120458891013384,0.0,0.0,0.0,0.001564945226917058,0.0
EXPRESS Rack/GLACIER,Multipurpose/Multipurpose,General science/Refrigeration,0.0070052539404553416,0.002803738317757009,0.005591798695246971,0.003894080996884735,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0019120458891013384,0.0,0.0015552099533437014,0.0,0.0,0.0
CIR/EXPRESS Rack,Physical Science/Multipurpose,Furnace/General science,0.0070052539404553416,0.001869158878504673,0.0009319664492078285,0.000778816199376947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIR/MSG,Physical Science/Multipurpose,Furnace/Glovebox,0.0070052539404553416,0.001869158878504673,0.0009319664492078285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/MDS,Multipurpose/Biology and Biotechnology,General science/Biology,0.006129597197898424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actiwatch/CBPD,Human Research/Human Research,Crew health/Crew health,0.005253940455341506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPEF/IPU,Physical Science/Multipurpose,Fluids/Image processing,0.005253940455341506,0.008411214953271028,0.011183597390493943,0.004672897196261682,0.0,0.0,0.004545454545454545,0.003745318352059925,0.0,0.0,0.0019120458891013384,0.0,0.003110419906687403,0.0030441400304414,0.001564945226917058,0.0030959752321981426
HRF-2/Holter,Multipurpose/Human Research,Crew health/Crew health,0.005253940455341506,0.001869158878504673,0.0009319664492078285,0.001557632398753894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRF-2/PFS,Multipurpose/Human Research,Crew health/Crew health,0.005253940455341506,0.001869158878504673,0.001863932898415657,0.003894080996884735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015552099533437014,0.0,0.0,0.0
EXPRESS Rack/MSG,Multipurpose/Multipurpose,General science/Glovebox,0.005253940455341506,0.003738317757009346,0.0009319664492078285,0.000778816199376947,0.0,0.0,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELFI/Saibo,Multipurpose/Multipurpose,Refrigeration/Biology,0.005253940455341506,0.001869158878504673,0.0027958993476234857,0.0,0.0,0.004640371229698376,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBEF/KFT,Biology and Biotechnology/Biology and Biotechnology,Biology/Glovebox,0.0043782837127845885,0.002803738317757009,0.004659832246039142,0.002336448598130841,0.0033003300330033004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFS/RC,Human Research/Human Research,Crew health/Centrifuge,0.0043782837127845885,0.001869158878504673,0.0009319664492078285,0.001557632398753894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBPD/EPM,Human Research/Human Research,Crew health/Crew health,0.0043782837127845885,0.0,0.0,0.000778816199376947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022675736961451248,0.0,0.0030441400304414,0.0,0.0030959752321981426
EPM/PFS,Human Research/Human Research,Crew health/Crew health,0.0043782837127845885,0.002803738317757009,0.001863932898415657,0.003115264797507788,0.0165016501650165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015552099533437014,0.0015220700152207,0.001564945226917058,0.0
MDS/MELFI,Biology and Biotechnology/Multipurpose,Biology/Refrigeration,0.0043782837127845885,0.0,0.003727865796831314,0.002336448598130841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGBA/MSG,Biology and Biotechnology/Multipurpose,Biology/Glovebox,0.0043782837127845885,0.002803738317757009,0.007455731593662628,0.0,0.0,0.0,0.006818181818181818,0.0018726591760299626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDS/PGB,Biology and Biotechnology/Multipurpose,Biology/Glovebox,0.0043782837127845885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CB/Saibo,Multipurpose/Multipurpose,Glovebox/Biology,0.0043782837127845885,0.0009345794392523365,0.0009319664492078285,0.0,0.0,0.004640371229698376,0.0022727272727272726,0.0,0.0017699115044247787,0.0,0.011472275334608031,0.009070294784580499,0.004665629860031105,0.0106544901065449,0.003129890453834116,0.0
FPEF/MWA,Physical Science/Multipurpose,Fluids/Maintenance,0.0043782837127845885,0.0065420560747663555,0.004659832246039142,0.002336448598130841,0.006600660066006601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DECLIC/EXPRESS Rack,Physical Science/Multipurpose,Fluids/General science,0.0043782837127845885,0.0065420560747663555,0.003727865796831314,0.005451713395638629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015552099533437014,0.0,0.0,0.0
MSL/MSRR-1,Physical Science/Physical Science,Furnace/Materials,0.0035026269702276708,0.0065420560747663555,0.003727865796831314,0.0,0.0,0.0,0.0,0.0,0.0017699115044247787,0.0,0.0,0.0,0.004665629860031105,0.0,0.0,0.0
Holter/RC,Human Research/Human Research,Crew health/Centrifuge,0.0035026269702276708,0.001869158878504673,0.0009319664492078285,0.001557632398753894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Holter/MELFI,Human Research/Multipurpose,Crew health/Refrigeration,0.0035026269702276708,0.001869158878504673,0.0009319664492078285,0.003115264797507788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CB/MELFI,Multipurpose/Multipurpose,Glovebox/Refrigeration,0.0035026269702276708,0.0,0.0,0.0,0.0,0.002320185614849188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CB/CBEF,Multipurpose/Biology and Biotechnology,Glovebox/Biology,0.0035026269702276708,0.001869158878504673,0.0,0.0,0.0,0.013921113689095127,0.0,0.0,0.0,0.0,0.011472275334608031,0.009070294784580499,0.004665629860031105,0.0106544901065449,0.003129890453834116,0.0
PCBA/RC,Human Research/Human Research,Crew health/Centrifuge,0.0035026269702276708,0.0009345794392523365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELFI/PFS,Multipurpose/Human Research,Refrigeration/Crew health,0.0035026269702276708,0.002803738317757009,0.001863932898415657,0.001557632398753894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPM/RC,Human Research/Human Research,Crew health/Centrifuge,0.002626970227670753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IPU/SCOF,Multipurpose/Biology and Biotechnology,Image processing/Microscope,0.002626970227670753,0.003738317757009346,0.0,0.0,0.0,0.0,0.0022727272727272726,0.0,0.0,0.0,0.0019120458891013384,0.0,0.003110419906687403,0.0030441400304414,0.001564945226917058,0.0030959752321981426
MSG/SAMS-II,Multipurpose/Multipurpose,Glovebox/Physics,0.002626970227670753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIR/LMM,Physical Science/Multipurpose,Fluids/Microscope,0.002626970227670753,0.009345794392523364,0.02982292637465051,0.003115264797507788,0.009900990099009901,0.018561484918793503,0.006818181818181818,0.003745318352059925,0.03893805309734513,0.017064846416382253,0.02676864244741874,0.022675736961451247,0.01866251944012442,0.0,0.0,0.0
FSL/MVIS,Physical Science/Multipurpose,Fluids/Vibration isolation,0.002626970227670753,0.001869158878504673,0.001863932898415657,0.0,0.0,0.0,0.0,0.0,0.0017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPEF/SCOF,Physical Science/Biology and Biotechnology,Fluids/Microscope,0.002626970227670753,0.004672897196261682,0.0,0.0,0.0,0.0,0.004545454545454545,0.0,0.0,0.0,0.0019120458891013384,0.0,0.004665629860031105,0.0030441400304414,0.001564945226917058,0.0030959752321981426
Double Coldbag/MELFI,Multipurpose/Multipurpose,Refrigeration/Refrigeration,0.002626970227670753,0.004672897196261682,0.0,0.001557632398753894,0.0,0.0,0.0,0.0018726591760299626,0.0035398230088495575,0.0,0.0,0.0022675736961451248,0.0,0.0,0.001564945226917058,0.0
MDS/Saibo,Biology and Biotechnology/Multipurpose,Biology/Biology,0.002626970227670753,0.0,0.0027958993476234857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPM/MELFI,Human Research/Multipurpose,Crew health/Refrigeration,0.002626970227670753,0.0,0.0009319664492078285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALTEA/ELC,Human Research/Earth and Space Science,Crew health/External payloads,0.0017513134851138354,0.0,0.0,0.000778816199376947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBEF/IPU,Biology and Biotechnology/Multipurpose,Biology/Image processing,0.0017513134851138354,0.0009345794392523365,0.0,0.0,0.0,0.0,0.006818181818181818,0.00749063670411985,0.0,0.0,0.0038240917782026767,0.0,0.0015552099533437014,0.0015220700152207,0.001564945226917058,0.0
EXPRESS Rack/Portable Pulmonary Function System,Multipurpose/Human Research,General science/Crew health,0.0017513134851138354,0.0,0.001863932898415657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIR/ELC,Physical Science/Earth and Space Science,Furnace/External payloads,0.0017513134851138354,0.0,0.0009319664492078285,0.000778816199376947,0.0,0.0,0.0,0.0018726591760299626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRS/MWA,Biology and Biotechnology/Multipurpose,Plant/Maintenance,0.0017513134851138354,0.0009345794392523365,0.0,0.0,0.0,0.0,0.004545454545454545,0.0,0.0017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPM/HRF-2,Human Research/Multipurpose,Crew health/Crew health,0.0017513134851138354,0.001869158878504673,0.0009319664492078285,0.000778816199376947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DECLIC/MDS,Physical Science/Biology and Biotechnology,Fluids/Biology,0.0017513134851138354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Double Coldbag/GLACIER,Multipurpose/Multipurpose,Refrigeration/Refrigeration,0.0017513134851138354,0.0009345794392523365,0.0,0.000778816199376947,0.0,0.0,0.0,0.0,0.0017699115044247787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRS/EXPRESS Rack,Biology and Biotechnology/Multipurpose,Plant/General science,0.0017513134851138354,0.0,0.0,0.000778816199376947,0.0,0.002320185614849188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPEF/Ryutai,Physical Science/Multipurpose,Fluids/General science,0.0017513134851138354,0.0,0.0027958993476234857,0.0,0.009900990099009901,0.0,0.006818181818181818,0.0056179775280898875,0.0,0.0,0.0019120458891013384,0.0022675736961451248,0.004665629860031105,0.0030441400304414,0.001564945226917058,0.0030959752321981426
EPM/ETC,Human Research/Multipurpose,Crew health/Stowage,0.0017513134851138354,0.001869158878504673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RC/SLAMMD,Human Research/Human Research,Centrifuge/General science,0.0017513134851138354,0.0009345794392523365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIR/MELFI,Physical Science/Multipurpose,Fluids/Refrigeration,0.0017513134851138354,0.001869158878504673,0.0,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.0017064846416382253,0.0038240917782026767,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/PFS,Multipurpose/Human Research,General science/Crew health,0.0017513134851138354,0.0,0.0027958993476234857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMD/RC,Multipurpose/Human Research,Crew health/Centrifuge,0.0017513134851138354,0.0009345794392523365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIR/SAMS-II,Physical Science/Multipurpose,Furnace/Physics,0.0017513134851138354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
