,support,itemsets,length,frequency
58,0.03001519756838906,"frozenset({'CEVIS', 'Ultrasound'})",2,158
122,0.024506079027355625,"frozenset({'Mass Measurement Device', 'SLAMMD'})",2,129
56,0.020896656534954407,"frozenset({'CEVIS', 'PFS'})",2,110
78,0.020326747720364743,"frozenset({'LMM', 'FIR'})",2,107
101,0.007408814589665654,"frozenset({'Holter', 'Ultrasound'})",2,39
98,0.004749240121580547,"frozenset({'Holter', 'PFS'})",2,25
52,0.004369300911854103,"frozenset({'Holter', 'CEVIS'})",2,23
116,0.003419452887537994,"frozenset({'MSL', 'MSRR-1'})",2,18
63,0.003229483282674772,"frozenset({'CGBA', 'MSG'})",2,17
46,0.00303951367781155,"frozenset({'MSG', 'BXF'})",2,16
91,0.0028495440729483282,"frozenset({'HRF-2', 'PFS'})",2,15
76,0.0028495440729483282,"frozenset({'CIR', 'SoFIE'})",2,15
90,0.0020896656534954406,"frozenset({'Holter', 'HRF-2'})",2,11
73,0.0020896656534954406,"frozenset({'MSG', 'CIR'})",2,11
89,0.0020896656534954406,"frozenset({'HRF-1', 'Ultrasound'})",2,11
49,0.0020896656534954406,"frozenset({'CGBA', 'CEVIS'})",2,11
114,0.001899696048632219,"frozenset({'MSG', 'SUBSA'})",2,10
59,0.001709726443768997,"frozenset({'WORF', 'CEVIS'})",2,9
99,0.001709726443768997,"frozenset({'Holter', 'RC'})",2,9
125,0.001709726443768997,"frozenset({'RC', 'PFS'})",2,9
88,0.001709726443768997,"frozenset({'HRF-1', 'SLAMMD'})",2,9
86,0.001709726443768997,"frozenset({'Mass Measurement Device', 'HRF-1'})",2,9
71,0.001519756838905775,"frozenset({'FIR', 'CIR'})",2,8
132,0.0013297872340425532,"frozenset({'TangoLab-2', 'TangoLab-1'})",2,7
112,0.0013297872340425532,"frozenset({'MSG', 'SABL'})",2,7
100,0.0011398176291793312,"frozenset({'Holter', 'SLAMMD'})",2,6
97,0.0011398176291793312,"frozenset({'Holter', 'Mass Measurement Device'})",2,6
50,0.0009498480243161094,"frozenset({'CIR', 'CEVIS'})",2,5
103,0.0009498480243161094,"frozenset({'ISERV', 'WORF'})",2,5
72,0.0009498480243161094,"frozenset({'LMM', 'CIR'})",2,5
47,0.0009498480243161094,"frozenset({'MSG', 'Bone Densitometer'})",2,5
126,0.0009498480243161094,"frozenset({'Ultrasound', 'PFS'})",2,5
53,0.0007598784194528875,"frozenset({'MSL', 'CEVIS'})",2,4
107,0.0005699088145896656,"frozenset({'LSG', 'MSG'})",2,3
84,0.0005699088145896656,"frozenset({'HRF-1', 'HRF-2'})",2,3
60,0.0005699088145896656,"frozenset({'CGBA', 'CIR'})",2,3
69,0.0005699088145896656,"frozenset({'CGBA', 'WORF'})",2,3
108,0.0005699088145896656,"frozenset({'LSG', 'SABL'})",2,3
79,0.0005699088145896656,"frozenset({'MSG', 'FIR'})",2,3
128,0.0005699088145896656,"frozenset({'RC', 'SLAMMD'})",2,3
113,0.0005699088145896656,"frozenset({'MSG', 'SAMS-II'})",2,3
54,0.0005699088145896656,"frozenset({'CEVIS', 'MSRR-1'})",2,3
67,0.0005699088145896656,"frozenset({'CGBA', 'SLAMMD'})",2,3
66,0.0005699088145896656,"frozenset({'CGBA', 'SABL'})",2,3
121,0.0005699088145896656,"frozenset({'RC', 'Mass Measurement Device'})",2,3
64,0.0005699088145896656,"frozenset({'CGBA', 'Mass Measurement Device'})",2,3
105,0.00037993920972644377,"frozenset({'KERMIT', 'MSRR-1'})",2,2
127,0.00037993920972644377,"frozenset({'WORF', 'PFS'})",2,2
109,0.00037993920972644377,"frozenset({'MSG', 'Mass Measurement Device'})",2,2
45,0.00037993920972644377,"frozenset({'BRIC', 'HRF-2'})",2,2
77,0.00037993920972644377,"frozenset({'CIR', 'WORF'})",2,2
48,0.00037993920972644377,"frozenset({'Bone Densitometer', 'Ultrasound'})",2,2
93,0.00037993920972644377,"frozenset({'HRF-2', 'Ultrasound'})",2,2
65,0.00037993920972644377,"frozenset({'CGBA', 'PFS'})",2,2
85,0.00037993920972644377,"frozenset({'Holter', 'HRF-1'})",2,2
74,0.00037993920972644377,"frozenset({'SAMS-II', 'CIR'})",2,2
83,0.00037993920972644377,"frozenset({'MSG', 'Glovebox Freezer'})",2,2
62,0.00037993920972644377,"frozenset({'CGBA', 'Holter'})",2,2
