Report Date,Facility
2009,MAMS
2010,MAMS
2011,MAMS
2012,SAMS-II
2013,Cold Atom Lab
2014,Cold Atom Lab
2015,Cold Atom Lab
2016,SAMS-II
2017,Cold Atom Lab
2018,SUBSA
2019,SUBSA
2020,Cold Atom Lab
2021,SUBSA
2022,Cold Atom Lab
2023,Cold Atom Lab
2024,Cold Atom Lab
