Report Date,Facility
2009,None
2010,Kubik
2011,Kubik
2012,None
2013,None
2014,Kubik
2015,Kubik
2016,SABL
2017,SABL
2018,SABL
2019,Kubik
2020,SABL
2021,SABL
2022,SABL
2023,SABL
2024,Kubik
