Report Date,Facility
2009,RC
2010,RC
2011,RC
2012,RC
2013,RC
2014,None
2015,None
2016,RC
2017,RC
2018,MVP
2019,MVP
2020,MVP
2021,MVP
2022,MVP
2023,MVP
2024,None
