Report Date,Facility
2009,None
2010,None
2011,None
2012,None
2013,J-SSOD
2014,NanoRacks CubeSat Deployer
2015,J-SSOD
2016,NanoRacks CubeSat Deployer
2017,J-SSOD
2018,J-SSOD
2019,SlingShot
2020,NanoRacks CubeSat Deployer
2021,J-SSOD
2022,J-SSOD
2023,J-SSOD
2024,J-SSOD
