,Report Count,Proportion
Tuesday,702,0.1822429906542056
Wednesday,692,0.17964693665628245
Thursday,683,0.1773104880581516
Friday,667,0.17315680166147457
Monday,665,0.17263759086188993
Sunday,226,0.05867082035306334
Saturday,217,0.0563343717549325
