,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
32,"frozenset({'PCBA', 'SLAMMD'})",frozenset({'MELFI'}),0.005546262875253103,0.127740117968131,0.005458226956598292,0.9841269841269841,7.704133985319373,0.0047497466826311955,54.952372568007554,0.8750528305766243
26,frozenset({'NanoRacks CubeSat Deployer'}),frozenset({'RC'}),0.005810370631217537,0.054670305484637735,0.0056342987939079145,0.9696969696969696,17.73717854877275,0.005316644056520285,31.19587991900687,0.9491360798724874
160,"frozenset({'Actiwatch', 'Actiwatch Spectrum', 'Holter Monitor 2'})",frozenset({'EPM'}),0.0019367902104058456,0.026938991108372216,0.0018487542917510343,0.9545454545454545,35.433600713012474,0.001796579117494129,21.40734219561578,0.9736639826610719
6,frozenset({'Portable Pulmonary Function System'}),frozenset({'PFS'}),0.013909675147460164,0.019367902104058456,0.013117351879566863,0.9430379746835443,48.690765247410816,0.0128479506530116,17.215541274173205,0.9932784045528054
225,"frozenset({'CBEF', 'KFT'})",frozenset({'MELFI'}),0.0014966106171317897,0.127740117968131,0.0014085746984769786,0.9411764705882354,7.367900433777923,0.0012173974816922064,14.828417994541798,0.8655715482278257
233,"frozenset({'EXPRESS Rack', 'MELFI', 'GLACIER'})",frozenset({'MERLIN'}),0.0013205387798221674,0.013733603310150541,0.0012325028611673563,0.9333333333333335,67.95982905982908,0.0012143671054096084,14.793995950347771,0.9865882530727382
50,frozenset({'SoFIE'}),frozenset({'CIR'}),0.004841975526014614,0.05229333568095783,0.004401795932740558,0.9090909090909092,17.38445056626875,0.0041485928811996935,10.424773307509472,0.9470629865534324
417,"frozenset({'RC', 'PFS'})",frozenset({'MELFI'}),0.0008803591865481116,0.127740117968131,0.0007923232678933005,0.9,7.045554789800137,0.0006798660815493169,8.722598820318693,0.8588226079635015
391,"frozenset({'RC', 'PFS'})",frozenset({'Holter'}),0.0008803591865481116,0.02420987763007307,0.0007923232678933005,0.9,37.17490909090909,0.0007710098797164601,9.757901223699271,0.9739575684592868
442,"frozenset({'RC', 'PFS'})","frozenset({'Holter', 'MELFI'})",0.0008803591865481116,0.0009683951052029228,0.0007923232678933005,0.9,929.3727272727273,0.0007914707323662269,9.990316048947973,0.9998041922440548
524,"frozenset({'CBEF-L', 'Saibo'})",frozenset({'CBEF'}),0.0007042873492384893,0.031076679285148342,0.0006162514305836781,0.875,28.156161473087817,0.0005943645185068064,7.751386565718813,0.9651635475791938
517,frozenset({'JAXA Mouse Habitat Unit'}),frozenset({'CBEF-L'}),0.0007042873492384893,0.005898406549872348,0.0006162514305836781,0.875,148.34514925373134,0.0006120972574699377,7.952812747601021,0.9939589966900336
1,frozenset({'HRF-1'}),frozenset({'Actiwatch'}),0.03178096663438683,0.058015670393520555,0.027555242538955894,0.8670360110803325,14.944858952748858,0.025711448453907833,7.084507145582067,0.96371515703988
305,frozenset({'LIDAL'}),frozenset({'ALTEA'}),0.0013205387798221674,0.006602693899110838,0.001144466942512545,0.8666666666666667,131.25955555555555,0.001135747829167474,7.45047979575667,0.9936937181295432
735,"frozenset({'MSPR', 'MELFI'})",frozenset({'CBEF'}),0.0006162514305836781,0.031076679285148342,0.000528215511928867,0.8571428571428571,27.581545932820717,0.0005090644638616041,6.782463245003959,0.964338148931172
215,frozenset({'BXF'}),frozenset({'MSG'}),0.0017607183730962233,0.0567831675323532,0.0014966106171317897,0.85,14.96922480620155,0.0013966314507749744,6.288112216450977,0.934842267447591
79,frozenset({'KFT'}),frozenset({'MELFI'}),0.0034334008275376353,0.127740117968131,0.0029051853156087685,0.8461538461538463,6.624025870752266,0.0024666022888672322,5.669689233207152,0.8519595245743654
811,frozenset({'NanoRacks-extCygnus-NRCSD'}),"frozenset({'NanoRacks CubeSat Deployer', 'RC'})",0.000528215511928867,0.0056342987939079145,0.0004401795932740558,0.8333333333333334,147.90364583333334,0.00043720346925227153,5.966194207236554,0.9937637628820576
808,"frozenset({'RC', 'NanoRacks-extCygnus-NRCSD'})",frozenset({'NanoRacks CubeSat Deployer'}),0.000528215511928867,0.005810370631217537,0.0004401795932740558,0.8333333333333334,143.42171717171718,0.0004371104653765908,5.965137776212695,0.9935523650136527
805,frozenset({'NanoRacks-extCygnus-NRCSD'}),frozenset({'NanoRacks CubeSat Deployer'}),0.000528215511928867,0.005810370631217537,0.0004401795932740558,0.8333333333333334,143.42171717171718,0.0004371104653765908,5.965137776212695,0.9935523650136527
251,"frozenset({'SCOF', 'FPEF'})",frozenset({'IPU'}),0.001584646535786601,0.010036094726648473,0.0013205387798221674,0.8333333333333333,83.03362573099415,0.0013046351170807576,5.939783431640107,0.9895247332686712
430,"frozenset({'Holter', 'MELFI'})",frozenset({'RC'}),0.0009683951052029228,0.054670305484637735,0.0007923232678933005,0.8181818181818182,14.96574440052701,0.0007393808116620288,5.199313319834494,0.9340853013746917
418,"frozenset({'PFS', 'MELFI'})",frozenset({'RC'}),0.0009683951052029228,0.054670305484637735,0.0007923232678933005,0.8181818181818182,14.96574440052701,0.0007393808116620288,5.199313319834494,0.9340853013746917
399,"frozenset({'IPU', 'Ryutai', 'FPEF'})",frozenset({'SCOF'}),0.0009683951052029228,0.004313760014085747,0.0007923232678933005,0.8181818181818182,189.6679035250464,0.0007881458438106397,5.476274319922529,0.9956918497630518
462,"frozenset({'PFS', 'MELFI'})",frozenset({'Holter'}),0.0009683951052029228,0.02420987763007307,0.0007923232678933005,0.8181818181818182,33.795371900826446,0.0007688785408987759,5.366845673034599,0.971350800924294
