,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,14.207446808510639,15.292553191489361,14.132978723404255,16.55851063829787,2.1861702127659575,3.324468085106383,3.324468085106383,3.893617021276596,4.319148936170213,3.856382978723404,3.526595744680851,2.952127659574468,4.2287234042553195,4.223404255319149,4.324468085106383,2.101063829787234
std,45.64551331100312,50.29521987335829,44.412485329148645,52.8752116028675,4.980434469028224,7.624617969498156,8.149409429345438,9.130038669060074,10.668272483138534,9.1899510162688,7.07970928331372,5.536736402819902,7.711774764562459,7.761352568764435,8.62070863459683,4.431945159819477
max,337.0,353.0,332.0,345.0,31.0,45.0,70.0,73.0,102.0,79.0,54.0,30.0,45.0,40.0,46.0,27.0
