,support,itemsets,length
20,0.58203125,"frozenset({'MELFI', 'ARED'})",2
16,0.5052083333333334,"frozenset({'ARED', 'CIR'})",2
27,0.44921875,"frozenset({'MELFI', 'CIR'})",2
15,0.421875,"frozenset({'CEVIS', 'ARED'})",2
23,0.4166666666666667,"frozenset({'ARED', 'Ultrasound'})",2
21,0.4049479166666667,"frozenset({'ARED', 'MSG'})",2
33,0.4036458333333333,"frozenset({'MELFI', 'Ultrasound'})",2
26,0.37890625,"frozenset({'CEVIS', 'MELFI'})",2
25,0.3697916666666667,"frozenset({'CEVIS', 'CIR'})",2
32,0.3684895833333333,"frozenset({'MELFI', 'MSG'})",2
30,0.3372395833333333,"frozenset({'CIR', 'Ultrasound'})",2
14,0.3333333333333333,"frozenset({'CBEF', 'ARED'})",2
18,0.33203125,"frozenset({'EXPRESS Rack', 'ARED'})",2
28,0.3255208333333333,"frozenset({'CIR', 'MSG'})",2
17,0.32421875,"frozenset({'ARED', 'EPM'})",2
19,0.3229166666666667,"frozenset({'ARED', 'Holter'})",2
22,0.3216145833333333,"frozenset({'Solar', 'ARED'})",2
24,0.3151041666666667,"frozenset({'MELFI', 'CBEF'})",2
31,0.3111979166666667,"frozenset({'EXPRESS Rack', 'MELFI'})",2
29,0.3020833333333333,"frozenset({'Solar', 'CIR'})",2
