,Biology and Biotechnology,Human Research,Multipurpose,Technology Development and Demonstration,Physical Science,Earth and Space Science,Educational and Cultural Activities,Manufacture
NASA,1307,8337,5551,240,1345,324,0,2
ESA,293,821,507,0,702,977,0,0
JAXA,1123,0,1103,8,500,25,0,0
CSA,0,53,39,0,0,0,0,0
