,Frequency
Multipurpose,0.38169879262868034
Human Research,0.26336228200240064
Biology and Biotechnology,0.15851161477088188
Physical Science,0.11198192473346043
Earth and Space Science,0.04808303325566617
Technology Development and Demonstration,0.03332627268234131
Educational and Cultural Activities,0.0028948669067288004
Manufacture,0.0001412130198404293
