,Frequency
Human Research,0.47255860459948895
Multipurpose,0.277802466392623
Biology and Biotechnology,0.11370958782357515
Physical Science,0.07732474169536718
Earth and Space Science,0.03360737695811576
Technology Development and Demonstration,0.022608599044550606
Educational and Cultural Activities,0.002277524719475614
Manufacture,0.00011109876680368848
