,support,itemsets,length,frequency
253,0.000851063829787234,"frozenset({'FSL', 'EPM'})",2,2
342,0.000851063829787234,"frozenset({'FSL', 'Ultrasound 2'})",2,2
337,0.000851063829787234,"frozenset({'FIR', 'Ultrasound'})",2,2
