Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Holter/MELFI,Human Research/Multipurpose,Crew health/Refrigeration,8,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0
MELFI/PFS,Multipurpose/Human Research,Refrigeration/Crew health,8,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0
MSL/MSRR-1,Physical Science/Physical Science,Furnace/Materials,8,14,8,0,0,0,0,0,2,0,0,0,6,0,0,0
PCBA/RC,Human Research/Human Research,Crew health/Centrifuge,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB/GLACIER,Multipurpose/Multipurpose,Glovebox/Refrigeration,8,2,0,4,3,0,0,0,2,0,0,2,0,0,0,0
CB/Double Coldbag,Multipurpose/Multipurpose,Glovebox/Refrigeration,6,12,2,8,0,0,0,0,2,0,4,2,0,0,0,2
FSL/MVIS,Physical Science/Multipurpose,Fluids/Vibration isolation,6,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0
FIR/LMM,Physical Science/Multipurpose,Fluids/Microscope,6,20,64,8,6,15,6,4,44,20,27,20,24,0,0,0
Double Coldbag/MELFI,Multipurpose/Multipurpose,Refrigeration/Refrigeration,6,10,0,4,0,0,0,2,4,0,0,2,0,0,2,0
Holter/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
MDS/Saibo,Biology and Biotechnology/Multipurpose,Biology/Biology,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/UMS,Multipurpose/Human Research,General science/Crew health,6,2,8,0,0,0,2,0,0,0,0,0,0,0,0,0
EPM/RC,Human Research/Human Research,Crew health/Centrifuge,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSG/SAMS-II,Multipurpose/Multipurpose,Glovebox/Physics,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPM/MELFI,Human Research/Multipurpose,Crew health/Refrigeration,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
RAM/RC,Human Research/Human Research,Crew health/Centrifuge,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPEF/SCOF,Physical Science/Biology and Biotechnology,Fluids/Microscope,6,10,0,0,0,0,4,0,0,0,2,0,6,4,2,2
IPU/SCOF,Multipurpose/Biology and Biotechnology,Image processing/Microscope,6,8,0,0,0,0,2,0,0,0,2,0,4,4,2,2
RC/SLAMMD,Human Research/Human Research,Centrifuge/General science,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Coldbag/GLACIER,Multipurpose/Multipurpose,Refrigeration/Refrigeration,4,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0
EPM/ETC,Human Research/Multipurpose,Crew health/Stowage,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/EXPRESS Rack,Biology and Biotechnology/Multipurpose,Plant/General science,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
EXPRESS Rack/Portable Pulmonary Function System,Multipurpose/Human Research,General science/Crew health,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
FPEF/Ryutai,Physical Science/Multipurpose,Fluids/General science,4,0,6,0,6,0,6,6,0,0,2,2,6,4,2,2
DECLIC/MDS,Physical Science/Biology and Biotechnology,Fluids/Biology,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPM/HRF-2,Human Research/Multipurpose,Crew health/Crew health,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/RC,Biology and Biotechnology/Human Research,Plant/Centrifuge,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRS/MWA,Biology and Biotechnology/Multipurpose,Plant/Maintenance,4,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0
EXPRESS Rack/WORF,Multipurpose/Earth and Space Science,General science/Earth observation,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CIR/SAMS-II,Physical Science/Multipurpose,Furnace/Physics,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTEA/ELC,Human Research/Earth and Space Science,Crew health/External payloads,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
FIR/MELFI,Physical Science/Multipurpose,Fluids/Refrigeration,4,4,0,0,0,0,0,0,10,2,4,0,0,0,0,0
CBEF/IPU,Biology and Biotechnology/Multipurpose,Centrifuge/Image processing,4,2,0,0,0,0,6,8,0,0,4,0,0,0,0,0
CIR/ELC,Physical Science/Earth and Space Science,Furnace/External payloads,4,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0
EXPRESS Rack/PFS,Multipurpose/Human Research,General science/Crew health,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
RC/Solar,Human Research/Earth and Space Science,Centrifuge/Astronomy,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
CBPD/Holter,Human Research/Human Research,Crew health/Crew health,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCRF/Ryutai,Biology and Biotechnology/Multipurpose,Biology/General science,2,0,2,2,0,3,2,2,0,2,0,0,4,4,2,2
IPU/PCRF,Multipurpose/Biology and Biotechnology,Image processing/Biology,2,0,0,0,0,0,0,0,0,0,0,0,4,4,2,2
FPEF/PCRF,Physical Science/Biology and Biotechnology,Fluids/Biology,2,0,0,0,0,0,0,0,0,0,0,0,4,4,2,2
