Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
FPEF/IPU,Physical Science/Multipurpose,Fluids/Image processing,0.00483871,0.007705479,0.010212766,0.004338395,0,0,0.004032258,0.003521127,0,0,0.001805054,0,0.003034901,0.00308642,0.001540832,0.003278689
HRF-2/PFS,Multipurpose/Human Research,Crew health/Crew health,0.00483871,0.001712329,0.001702128,0.003615329,0,0,0,0,0,0,0,0,0,0,0,0
MDS/MELFI,Biology and Biotechnology/Multipurpose,Biology/Refrigeration,0.004032258,0,0.003404255,0.002169197,0,0,0,0,0,0,0,0,0,0,0,0
MDS/PGB,Biology and Biotechnology/Multipurpose,Biology/Glovebox,0.004032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBEF/KFT,Biology and Biotechnology/Biology and Biotechnology,Centrifuge/Glovebox,0.004032258,0.002568493,0.004255319,0.002169197,0.002881844,0,0,0,0,0,0,0,0,0,0,0
FPEF/MWA,Physical Science/Multipurpose,Fluids/Maintenance,0.004032258,0.005993151,0.004255319,0.002169197,0.005763689,0,0,0,0,0,0,0,0,0,0,0
DECLIC/EXPRESS Rack,Physical Science/Multipurpose,Fluids/General science,0.004032258,0.005993151,0.003404255,0.005061461,0,0,0,0,0,0,0,0,0.001517451,0,0,0
CBPD/EPM,Human Research/Human Research,Crew health/Crew health,0.004032258,0,0,0.000723066,0,0,0,0,0,0,0,0.002178649,0,0.00308642,0,0.003278689
CGBA/MSG,Biology and Biotechnology/Multipurpose,Biology/Glovebox,0.004032258,0.002568493,0.006808511,0,0,0,0.006048387,0.001760563,0,0,0,0,0,0,0,0
PFS/RC,Human Research/Human Research,Crew health/Centrifuge,0.004032258,0.001712329,0.000851064,0.001446132,0,0,0,0,0,0,0,0,0,0,0,0
EPM/PFS,Human Research/Human Research,Crew health/Crew health,0.004032258,0.002568493,0.001702128,0.002892263,0.014409222,0,0,0,0,0,0,0,0.001517451,0.00154321,0.001540832,0
CB/Saibo,Multipurpose/Multipurpose,Glovebox/Biology,0.004032258,0.001712329,0.000851064,0,0,0.0041841,0.002016129,0,0.001610306,0,0.010830325,0.008714597,0.004552352,0.010802469,0.003081664,0
Holter/RC,Human Research/Human Research,Crew health/Centrifuge,0.003225806,0.001712329,0.000851064,0.001446132,0,0,0,0,0,0,0,0,0,0,0,0
Holter/MELFI,Human Research/Multipurpose,Crew health/Refrigeration,0.003225806,0.001712329,0.000851064,0.002892263,0,0,0,0,0,0,0,0,0,0,0,0
MELFI/PFS,Multipurpose/Human Research,Refrigeration/Crew health,0.003225806,0.002568493,0.001702128,0.001446132,0,0,0,0,0,0,0,0,0,0,0,0
MSL/MSRR-1,Physical Science/Physical Science,Furnace/Materials,0.003225806,0.005993151,0.003404255,0,0,0,0,0,0.001610306,0,0,0,0.004552352,0,0,0
PCBA/RC,Human Research/Human Research,Crew health/Centrifuge,0.003225806,0.000856164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB/GLACIER,Multipurpose/Multipurpose,Glovebox/Refrigeration,0.003225806,0.000856164,0,0.001446132,0.005763689,0,0,0,0.001610306,0,0,0.002178649,0,0,0,0
CB/Double Coldbag,Multipurpose/Multipurpose,Glovebox/Refrigeration,0.002419355,0.005136986,0.000851064,0.002892263,0,0,0,0,0.001610306,0,0.003610108,0.002178649,0,0,0,0.003278689
FSL/MVIS,Physical Science/Multipurpose,Fluids/Vibration isolation,0.002419355,0.001712329,0.001702128,0,0,0,0,0,0.001610306,0,0,0,0,0,0,0
FIR/LMM,Physical Science/Multipurpose,Fluids/Microscope,0.002419355,0.008561644,0.027234043,0.002892263,0.008645533,0.016736402,0.006048387,0.003521127,0.035426731,0.016260163,0.025270758,0.021786492,0.018209408,0,0,0
Double Coldbag/MELFI,Multipurpose/Multipurpose,Refrigeration/Refrigeration,0.002419355,0.004280822,0,0.001446132,0,0,0,0.001760563,0.003220612,0,0,0.002178649,0,0,0.001540832,0
