Pair,NASA Categories,Custom Categories,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CIR/MSG,Physical Science/Multipurpose,Furnace/Glovebox,0.0064516129032258064,0.0017123287671232876,0.000851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIR/EXPRESS Rack,Physical Science/Multipurpose,Furnace/General science,0.0064516129032258064,0.0017123287671232876,0.000851063829787234,0.0007230657989877079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/MERLIN,Multipurpose/Biology and Biotechnology,General science/Refrigeration,0.0064516129032258064,0.003424657534246575,0.01276595744680851,0.0,0.011527377521613832,0.0,0.0,0.0017605633802816902,0.001610305958132045,0.0,0.0018050541516245488,0.0,0.0,0.0,0.0015408320493066256,0.0
CBPD/Holter Monitor 2,Human Research/Human Research,Crew health/Crew health,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/MDS,Multipurpose/Biology and Biotechnology,General science/Biology,0.00564516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actiwatch/Holter,Human Research/Human Research,Crew health/Crew health,0.00564516129032258,0.0,0.002553191489361702,0.005784526391901663,0.01729106628242075,0.0041841004184100415,0.016129032258064516,0.017605633802816902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CB/CBEF,Multipurpose/Biology and Biotechnology,Glovebox/Centrifuge,0.004838709677419355,0.0025684931506849314,0.0,0.0,0.0,0.012552301255230125,0.0,0.0,0.0,0.0,0.010830324909747292,0.008714596949891068,0.004552352048558422,0.010802469135802469,0.0030816640986132513,0.0
MELFI/Saibo,Multipurpose/Multipurpose,Refrigeration/Biology,0.004838709677419355,0.0017123287671232876,0.002553191489361702,0.0,0.0,0.0041841004184100415,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRF-2/Holter,Multipurpose/Human Research,Crew health/Crew health,0.004838709677419355,0.0017123287671232876,0.000851063829787234,0.0014461315979754157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actiwatch/CBPD,Human Research/Human Research,Crew health/Crew health,0.004838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXPRESS Rack/MSG,Multipurpose/Multipurpose,General science/Glovebox,0.004838709677419355,0.003424657534246575,0.000851063829787234,0.0007230657989877079,0.0,0.0,0.0020161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPEF/IPU,Physical Science/Multipurpose,Fluids/Image processing,0.004838709677419355,0.007705479452054794,0.010212765957446808,0.004338394793926247,0.0,0.0,0.004032258064516129,0.0035211267605633804,0.0,0.0,0.0018050541516245488,0.0,0.0030349013657056147,0.0030864197530864196,0.0015408320493066256,0.003278688524590164
HRF-2/PFS,Multipurpose/Human Research,Crew health/Crew health,0.004838709677419355,0.0017123287671232876,0.001702127659574468,0.0036153289949385392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDS/MELFI,Biology and Biotechnology/Multipurpose,Biology/Refrigeration,0.004032258064516129,0.0,0.003404255319148936,0.0021691973969631237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDS/PGB,Biology and Biotechnology/Multipurpose,Biology/Glovebox,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBEF/KFT,Biology and Biotechnology/Biology and Biotechnology,Centrifuge/Glovebox,0.004032258064516129,0.0025684931506849314,0.00425531914893617,0.0021691973969631237,0.002881844380403458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPEF/MWA,Physical Science/Multipurpose,Fluids/Maintenance,0.004032258064516129,0.0059931506849315065,0.00425531914893617,0.0021691973969631237,0.005763688760806916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DECLIC/EXPRESS Rack,Physical Science/Multipurpose,Fluids/General science,0.004032258064516129,0.0059931506849315065,0.003404255319148936,0.005061460592913955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015174506828528073,0.0,0.0,0.0
CBPD/EPM,Human Research/Human Research,Crew health/Crew health,0.004032258064516129,0.0,0.0,0.0007230657989877079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002178649237472767,0.0,0.0030864197530864196,0.0,0.003278688524590164
CGBA/MSG,Biology and Biotechnology/Multipurpose,Biology/Glovebox,0.004032258064516129,0.0025684931506849314,0.006808510638297872,0.0,0.0,0.0,0.006048387096774193,0.0017605633802816902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFS/RC,Human Research/Human Research,Crew health/Centrifuge,0.004032258064516129,0.0017123287671232876,0.000851063829787234,0.0014461315979754157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPM/PFS,Human Research/Human Research,Crew health/Crew health,0.004032258064516129,0.0025684931506849314,0.001702127659574468,0.0028922631959508315,0.01440922190201729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015174506828528073,0.0015432098765432098,0.0015408320493066256,0.0
CB/Saibo,Multipurpose/Multipurpose,Glovebox/Biology,0.004032258064516129,0.0017123287671232876,0.000851063829787234,0.0,0.0,0.0041841004184100415,0.0020161290322580645,0.0,0.001610305958132045,0.0,0.010830324909747292,0.008714596949891068,0.004552352048558422,0.010802469135802469,0.0030816640986132513,0.0
Holter/RC,Human Research/Human Research,Crew health/Centrifuge,0.0032258064516129032,0.0017123287671232876,0.000851063829787234,0.0014461315979754157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Holter/MELFI,Human Research/Multipurpose,Crew health/Refrigeration,0.0032258064516129032,0.0017123287671232876,0.000851063829787234,0.0028922631959508315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELFI/PFS,Multipurpose/Human Research,Refrigeration/Crew health,0.0032258064516129032,0.0025684931506849314,0.001702127659574468,0.0014461315979754157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSL/MSRR-1,Physical Science/Physical Science,Furnace/Materials,0.0032258064516129032,0.0059931506849315065,0.003404255319148936,0.0,0.0,0.0,0.0,0.0,0.001610305958132045,0.0,0.0,0.0,0.004552352048558422,0.0,0.0,0.0
PCBA/RC,Human Research/Human Research,Crew health/Centrifuge,0.0032258064516129032,0.0008561643835616438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CB/GLACIER,Multipurpose/Multipurpose,Glovebox/Refrigeration,0.0032258064516129032,0.0008561643835616438,0.0,0.0014461315979754157,0.005763688760806916,0.0,0.0,0.0,0.001610305958132045,0.0,0.0,0.002178649237472767,0.0,0.0,0.0,0.0
CB/Double Coldbag,Multipurpose/Multipurpose,Glovebox/Refrigeration,0.0024193548387096775,0.005136986301369863,0.000851063829787234,0.0028922631959508315,0.0,0.0,0.0,0.0,0.001610305958132045,0.0,0.0036101083032490976,0.002178649237472767,0.0,0.0,0.0,0.003278688524590164
FSL/MVIS,Physical Science/Multipurpose,Fluids/Vibration isolation,0.0024193548387096775,0.0017123287671232876,0.001702127659574468,0.0,0.0,0.0,0.0,0.0,0.001610305958132045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
