Year,Proportion
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.004335260115606936
2019,0.05741626794258373
2020,0.04807692307692308
2021,0.00904392764857881
2022,0.05185185185185185
2023,0.05217391304347826
2024,0.1271393643031785
